Executando testes para instância: A-n32-k5
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.75 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 799.3 | Desvio Padrão: 19.206769639895203
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.1 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 788.7 | Desvio Padrão: 9.87758405009376
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.125 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 787.0 | Desvio Padrão: 8.445906306213285
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.15 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 787.6 | Desvio Padrão: 9.299940262651631
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.2 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 792.9 | Desvio Padrão: 18.168654325513494
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.3 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 787.3 | Desvio Padrão: 8.38053299816505
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.4 | crossover_bias: 0.5 -> Melhor Custo: 784 | Média: 790.9 | Desvio Padrão: 15.93354253698084
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.75 | crossover_bias: 0.6 -> Melhor Custo: 786 | Média: 802.5 | Desvio Padrão: 12.527746981977424
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.1 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 792.5 | Desvio Padrão: 12.554326390177655
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.125 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 790.5 | Desvio Padrão: 12.167808165629319
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.15 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 784.2 | Desvio Padrão: 0.6324555320336759
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.2 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 787.2 | Desvio Padrão: 5.7310072800899885
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.3 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 792.0 | Desvio Padrão: 10.16530045465127
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.4 | crossover_bias: 0.6 -> Melhor Custo: 784 | Média: 790.0 | Desvio Padrão: 9.237604307034012
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.75 | crossover_bias: 0.7 -> Melhor Custo: 785 | Média: 805.3 | Desvio Padrão: 18.51755923441316
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.1 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 792.5 | Desvio Padrão: 13.268592824996762
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.125 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 788.8 | Desvio Padrão: 8.854377448471462
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.15 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 796.1 | Desvio Padrão: 17.278438715475552
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.2 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 793.0 | Desvio Padrão: 11.460075625114056
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.3 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 785.9 | Desvio Padrão: 4.306326095924974
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.4 | crossover_bias: 0.7 -> Melhor Custo: 784 | Média: 790.6 | Desvio Padrão: 10.500793620801556
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.75 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 794.5 | Desvio Padrão: 14.477952586989332
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.1 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 790.2 | Desvio Padrão: 10.075272259900032
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.125 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 797.9 | Desvio Padrão: 14.50249020762373
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.15 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 791.4 | Desvio Padrão: 11.00706843603489
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.2 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 794.3 | Desvio Padrão: 16.00729000591085
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.3 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 794.5 | Desvio Padrão: 13.558515159608493
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.4 | crossover_bias: 0.75 -> Melhor Custo: 784 | Média: 791.5 | Desvio Padrão: 14.025769933312832
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.75 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 807.2 | Desvio Padrão: 23.97591383961088
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.1 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 801.6 | Desvio Padrão: 16.55428779635187
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.125 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 795.3 | Desvio Padrão: 14.079535977202278
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.15 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 792.2 | Desvio Padrão: 11.419281938896157
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.2 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 794.0 | Desvio Padrão: 13.17404856357967
Instância: A-n32-k5 | elitism: 0.1 | mutation_ratio: 0.3 | crossover_bias: 0.8 -> Melhor Custo: 784 | Média: 792.0 | Desvio Padrão: 13.106402167558333
